emiavoc;Total Emission Rate of Anthropogenic NMVOC;unset;Includes agricultural waste burning but no other biomass burning.  Integrate 3D emission field vertically to 2d field.  _If_ fixed molecular weight of NMVOC is not available in model, please provide in units of kilomole m-2 s-1 (i.e. kg m-2 s-1 as if model NMVOC had molecular weight of 1) and add a comment to your file.;[['CCMI1_monthly']]
uas;Eastward Near-Surface Wind;eastward_wind;near-surface (usually, 10 meters) eastward component of wind.;[['CORDEX_6h', 'CORDEX_day', 'CORDEX_mon', 'CORDEX_sem']]
tauucorr;Surface Downward X Stress Correction;surface_downward_x_stress_correction;This is the stress on the liquid ocean from overlying atmosphere, sea ice, ice shelf, etc.;[['CMIP5_Omon']]
hfrainds;Temperature Flux due to Rainfall Expressed as Heat Flux into Sea Water;temperature_flux_due_to_rainfall_expressed_as_heat_flux_into_sea_water;"This is defined as """"where ice_free_sea over sea""""; i.e., the total flux (considered here) entering the ice-free portion of the grid cell divided by the area of the ocean portion of the grid cell.";[['CMIP5_Omon']]
clhcalipso;CALIPSO High Level Cloud Fraction;cloud_area_fraction_in_atmosphere_layer;unset;[['CMIP5_cf3hr', 'CMIP5_cfDay', 'CMIP5_cfMon', 'CMIP5_cfOff']]
vmrbro;BrO Volume Mixing Ratio;mole_fraction_of_bromine_monoxide_in_air;;[['CCMI1_daily']]
stoo3;Dry Deposition Rate of O3 in Stomata;tendency_of_atmosphere_mass_content_of_ozone_due_to_dry_deposition_into_stomata;Only for year 2006;[['CCMI1_hourly']]
tnsccwacr;Tendency of Mass Fraction of Stratiform Cloud Condensed Water due to Autoconversion to Rain;tendency_of_mass_fraction_of_stratiform_cloud_condensed_water_in_air_due_to_autoconversion_to_rain;condensed water includes both liquid and ice.;[['CMIP5_cfMon']]
tossq;Square of Sea Surface Temperature;square_of_sea_surface_temperature;square of temperature of liquid ocean, averaged over the day.;[['CMIP5_day']]
prcprof;Convective Rainfall Flux;convective_rainfall_flux;unset;[['CMIP5_cf3hr']]
swtoacsaer;Clear-Sky SW-RF Aerosols at TOA;unset;proposed name: toa_instantaneous_shortwave_forcing_due_to_ambient_aerosol_assuming_clear_sky;[['CCMI1_monthly']]
cfc113global;Global Mean Mole Fraction of CFC113;mole_fraction_of_cfc113_in_air;unset;[['CMIP5_Amon']]
pbo;Sea Water Pressure at Sea floor;sea_water_pressure_at_sea_floor;unset;[['CMIP5_Omon']]
dispkevfo;Ocean Kinetic Energy Dissipation Per Unit Area due to Vertical Friction;ocean_kinetic_energy_dissipation_per_unit_area_due_to_vertical_friction;unset;[['CMIP5_Oclim']]
chepsoa;Production Rate of Dry Aerosol Secondary Organic Matter;tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production;"tendency of atmosphere mass content of secondary organic matter_dry aerosol due to net production:  If model lumps SOA emissions with POA, then the sum of POA and SOA emissions is reported as POA emissions.  """"mass"""" refers to the mass of primary organic matter, not mass of organic carbon alone.";[['CMIP5_aero']]
expcfe;Sinking Particulate Iron Flux;sinking_mole_flux_of_particulate_iron_in_sea_water;unset;[['CMIP5_Oyr']]
sos;Sea Surface Salinity;sea_surface_salinity;unset;[['CMIP5_Omon']]
soga;Global Mean Sea Water Salinity;sea_water_salinity;unset;[['CMIP5_Omon']]
concdust;Concentration of Dust;mass_concentration_of_dust_dry_aerosol_in_air;unset;[['CMIP5_aero']]
fbddtdin;Rate of Change of Dissolved Inorganic Nitrogen due to Biological Activity;tendency_of_ocean_mole_content_of_dissolved_inorganic_nitrogen_due_to_biological_processes;vertical integral of net biological terms in time rate of change of nitrogen nutrients (e.g. NO3+NH4);[['CMIP5_Omon']]
cclf2cclf2tbrdn;Tendency of Atmospheric Burden of CFC-114;tendency_of_atmosphere_moles_of_cfc114;total yearly averaged atmospheric loss;[['CCMI1_annual']]
o3steflx;STE Ozone Flux;unset;estimated strat-trop flux of ozone, i.e., the reset tendency of o3ste to o3 in the lowermost layers. See tracer o3ste on the monthly-mean 3d sheet for details.;[['CCMI1_monthly']]
zmchbr3;Zonal mean CHBr3 Volume Mixing Ratio;unset;;[['CCMI1_monthly']]
darag;Aragonite Dissolution;tendency_of_mole_concentration_of_aragonite_expressed_as_carbon_in_sea_water_due_to_dissolution;unset;[['CMIP5_Oyr']]
masscello;Sea Water Mass Per Unit Area;sea_water_mass_per_unit_area;unset;[['CMIP5_Omon']]
loadsoa;Load of Dry Aerosol Secondary Organic Matter;atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol;unset;[['CMIP5_aero']]
vmrh2o;Water Vapour Volume Mixing Ratio;mole_fraction_of_water_vapor_in_air;;[['CCMI1_daily', 'CCMI1_monthly']]
dpo2;Delta PO2;surface_molecular_oxygen_partial_pressure_difference_between_sea_water_and_air;unset;[['CMIP5_Omon']]
vmroclo;OClO Volume Mixing Ratio;mole_fraction_of_chlorine_dioxide_in_air;;[['CCMI1_daily']]
chepsoa;Production Rate of Dry Aerosol Secondary Organic Matter;tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production;Tendency of atmosphere mass content of secondary organic matter_dry aerosol due to net production:  If model lumps SOA emissions with POA, then the sum of POA and SOA emissions is reported as POA emissions. 'mass' refers to the mass of primary organic matter, not mass of organic carbon alone. Instead of emi_soa in original ACCMIP Excel spreadsheet. That variable had notes: This can be a pseudo-emission flux as used in AEROCOM (Dentener et al, ACP, 2006) or the net.;[['CCMI1_monthly']]
expp;Sinking Particulate Organic Phosphorus Flux;sinking_mole_flux_of_particulate_organic_phosphorus_in_sea_water;unset;[['CMIP5_Oyr']]
ang5087aer;Angstrom Exponent 500/870nm;angstrom_exponent_of_ambient_aerosol_in_air;general standard name is angstrom_exponent_of_ambient_aerosol_in_air;[['CCMI1_monthly']]
diftrxybo2d;Ocean Tracer XY Biharmonic Diffusivity;ocean_tracer_xy_biharmonic_diffusivity;unset;[['CMIP5_Oclim']]
dpocdtcalc;Tendency of Mole Concentration of Organic Carbon in Sea Water due to Net Primary Production by Calcareous Phytoplankton;tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_net_primary_production_by_calcareous_phytoplankton;Primary (organic carbon) production by the calcite-producing phytoplankton component alone;[['CMIP5_Oyr']]
hfy;Ocean Heat Y Transport;ocean_heat_y_transport;unset;[['CMIP5_Omon']]
ohloss;Total Loss of OH;unset;rate of OH loss from all reactions;[['CCMI1_monthly']]
pr;Rainfall Flux where Ice Free Ocean over Sea;rainfall_flux;computed as the total mass of liquid water falling as liquid rain  into the ice-free portion of the ocean divided by the area of the ocean portion of the grid cell.;[['CMIP5_Omon']]
rsutcs;TOA Outgoing Clear-Sky Shortwave Radiation;toa_outgoing_shortwave_flux_assuming_clear_sky;;[['CCMI1_monthly']]
ogwflux;Zonal Component of Upward Momentum Flux by Oro-GWs;upward_eastward_momentum_flux_in_air_due_to_orographic_gravity_waves;Zonal (positive eastward) orographic gravity wave stress (momentum flux), including any flux out of the top of the model (e.g., add additional level to the output file for model top. Set flux at this level to zero if nothing escapes to outer space in your model), derived either from daily means or 6hr fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available).;[['CCMI1_monthly']]
tnsclwbfpcli;Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air Due To Bergeron Findeisen Process To Cloud Ice;tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_bergeron_findeisen_process_to_cloud_ice;unset;[['CMIP5_cfMon']]
emidms;Total Emission Rate of DMS;tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission;unset;[['CMIP5_aero']]
acceldivf;Tendency of Eastward Wind from EPF Divergence;tendency_of_eastward_wind_due_to_eliassen_palm_flux_divergence;Transformed Eulerian Mean Diagnostics Acceleration from the EP-flux divergence (D) derived from 6hr or higher frequency fields (use daily fields or 12 hr fields if the 6 hr are not available).  Please use the definitions given by equation 3.5.2a of Andrews, Holton and Leovy text book.;[['CCMI1_daily', 'CCMI1_monthly']]
cobrdn;Atmospheric Burden of CO;atmosphere_moles_of_carbon_monoxide;total yearly average burden;[['CCMI1_annual']]
areacella;Atmosphere Grid-Cell Area;cell_area;unset;[['CMIP5_fx', 'SPECS_fx']]
msftmrhoz;Ocean Meridional Overturning Mass Streamfunction;ocean_meridional_overturning_mass_streamfunction;unset;[['CMIP5_Omon']]
wetsoa;Wet Deposition Rate of Dry Aerosol Secondary Organic Matter;tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition;unset;[['CMIP5_aero']]
intpbfe;Iron Production;tendency_of_ocean_mole_content_of_iron_due_to_biological_production;Vertically integrated biogenic iron production;[['CMIP5_Omon']]
calc;Calcite Concentration at Surface;mole_concentration_of_calcite_expressed_as_carbon_in_sea_water;sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.);[['CMIP5_Omon', 'CMIP5_Oyr']]
dissoc;Dissolved Organic Carbon Concentration at Surface;mole_concentration_of_dissolved_organic_carbon_in_sea_water;unset;[['CMIP5_Omon', 'CMIP5_Oyr']]
fco2fos;Carbon Mass Flux into Atmosphere Due to Fossil Fuel Emissions of CO2;tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_fossil_fuel_combustion;This is the prescribed anthropogenic CO2 flux from fossil fuel use, including cement production, and flaring (but not from land-use changes, agricultural burning, forest regrowth, etc.);[['CMIP5_Amon', 'CMIP5_cf3hr', 'CMIP5_cfSites']]
rsds;Surface Downwelling Shortwave Radiation;surface_downwelling_shortwave_flux_in_air;;[['CCMI1_monthly']]
msftmyz;Meridional Mass Streamfunction;ocean_meridional_overturning_mass_streamfunction;unset;[['SPECS_Omon']]
pnitrate;Primary Carbon Production by Phytoplankton due to Nitrate Uptake Alone;tendency_of_mole_concentration_of_particulate_organic_matter_expressed_as_carbon_in_sea_water_due_to_nitrate_utilization;Primary (organic carbon) production by phytoplankton due to nitrate uptake alone;[['CMIP5_Oyr']]
pbfe;Biogenic Iron Production;tendency_of_mole_concentration_of_iron_in_sea_water_due_to_biological_production;unset;[['CMIP5_Oyr']]
rldssi;Downwelling Long Wave over Sea Ice;surface_downwelling_longwave_flux_in_air;the downwelling longwave flux in regions of sea ice divided by the area of the ocean portion of the grid cell.;[['CMIP5_OImon']]
